Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Age,Gender,Segment,Region,State,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-100023,2023-02-16,2023-02-23,CUST-5907,Rohan Mehta,40.0,Male,Home Office,North,Uttar Pradesh,Technology,Accessories,Webcam HD,5125.92,7,0.1,1072.48
ORD-100024,2023-06-12,2023-06-15,CUST-4976,Shreya Verma,26.0,Female,Corporate,East,West Bengal,Office Supplies,Paper,A4 Copy Paper Ream,146.69,2,0.1,16.03
ORD-100025,2024-06-06,2024-06-13,CUST-9283,Rohan Iyer,37.0,Male,Corporate,West,Rajasthan,Furniture,Tables,Round Side Table,691.75,2,0.0,249.44
ORD-100026,2022-09-18,2022-09-23,CUST-6431,Nikhil Verma,32.0,Male,Consumer,Central,Madhya Pradesh,Furniture,Furnishings,Curtain Set,1843.21,5,0.15,162.4
ORD-100027,2023-08-27,2023-09-02,CUST-6973,Manish Mehta,36.0,Male,Consumer,West,Rajasthan,Office Supplies,Envelopes,Mailing Envelopes,143.72,2,0.4,-6.91
ORD-100028,2023-11-14,2023-11-19,CUST-6497,Shreya Mehta,49.0,Female,Consumer,Central,Chhattisgarh,Office Supplies,Paper,Notebook Set,355.77,5,0.1,66.57
ORD-100029,2022-03-07,2022-03-14,CUST-4626,Arjun Patel,18.0,Male,Home Office,South,Telangana,Furniture,Tables,Oak Dining Table,1877.01,4,0.0,710.79
ORD-100030,2023-11-25,2023-11-27,CUST-6510,Manish Kapoor,20.0,Male,Home Office,South,Tamil Nadu,Office Supplies,Storage,File Cabinet,158.78,2,0.4,0.28
ORD-100031,2022-08-14,2022-08-21,CUST-8215,Rahul Patel,28.0,Male,Consumer,West,Maharashtra,Technology,Phones,Budget Smartphone S5,982.12,3,0.15,266.11
ORD-100032,2022-03-31,2022-04-07,CUST-4260,Amit Mehta,39.0,Male,Home Office,Central,Chhattisgarh,Office Supplies,Storage,File Cabinet,125.44,5,0.1,29.61
ORD-100033,2024-11-30,2024-12-01,CUST-6431,Nikhil Verma,33.0,Male,Corporate,South,Karnataka,Furniture,Furnishings,Area Rug,2101.66,4,0.0,843.2
ORD-100034,2024-12-11,2024-12-14,CUST-5559,Shreya Mehta,35.0,Female,Consumer,South,Kerala,Furniture,Furnishings,Table Lamp,960.72,6,0.1,325.43
ORD-100035,2024-07-06,2024-07-08,CUST-1548,Divya Sharma,20.0,Female,Consumer,Central,Chhattisgarh,Furniture,Chairs,Executive Leather Chair,263.85,1,0.1,
ORD-100036,2022-12-14,2022-12-21,CUST-4976,Shreya Verma,28.0,Female,Consumer,South,Telangana,Furniture,Bookcases,Corner Bookcase,341.25,1,0.15,48.41
ORD-100037,2022-05-11,2022-05-15,CUST-5907,Rohan Mehta,41.0,Male,Corporate,Central,Madhya Pradesh,Furniture,Bookcases,5-Shelf Bookcase,887.78,6,0.0,395.38
ORD-100038,2024-01-25,2024-01-28,CUST-4976,Shreya Verma,25.0,Female,Consumer,South,Kerala,Office Supplies,Envelopes,Window Envelopes,159.98,3,0.0,61.81
ORD-100039,2023-05-23,2023-05-28,CUST-9131,Amit Gupta,19.0,Male,Consumer,North,Delhi,Technology,Copiers,Office Copier 200,606.9,1,0.0,132.8
ORD-100040,2022-06-10,2022-06-12,CUST-2421,Meera Patel,50.0,Female,Consumer,South,Karnataka,Technology,Phones,Budget Smartphone S5,82.66,1,0.2,9.86
ORD-100041,2023-08-03,2023-08-08,CUST-6645,Anjali Rao,37.0,Female,Home Office,North,Haryana,Office Supplies,Envelopes,Window Envelopes,193.56,3,0.0,50.16
ORD-100042,2022-02-18,2022-02-25,CUST-3105,Anjali Singh,49.0,Female,Consumer,Central,Madhya Pradesh,Office Supplies,Storage,Storage Box Set,159.9,2,0.3,11.83
ORD-100043,2024-11-01,2024-11-06,CUST-7114,Karan Reddy,31.0,Male,Consumer,North,Uttar Pradesh,Office Supplies,Art,Colored Pencils,18.32,2,0.2,3.4
ORD-100044,2022-11-13,2022-11-18,CUST-4030,Manish Mehta,30.0,Male,Corporate,Central,Chhattisgarh,Furniture,Tables,Glass Coffee Table,491.93,1,0.1,121.2
ORD-100045,2023-12-29,2023-12-30,CUST-4307,Vikram Joshi,26.0,Male,Corporate,North,Punjab,Technology,Machines,Label Maker,3407.04,6,0.1,365.42
ORD-100046,2022-12-18,2022-12-23,CUST-8836,Manish Kapoor,46.0,Male,Home Office,South,Tamil Nadu,Office Supplies,Art,Marker Set,103.33,5,0.0,23.13
ORD-100047,2023-09-04,2023-09-08,CUST-4260,Amit Mehta,37.0,Male,Consumer,North,Punjab,Furniture,Tables,Round Side Table,1662.37,3,0.3,156.88
ORD-100048,2023-10-04,2023-10-08,CUST-4030,Manish Mehta,31.0,Male,Consumer,West,Maharashtra,Technology,Copiers,Compact Copier,1365.09,2,0.1,173.55
ORD-100049,2022-09-01,2022-09-04,CUST-8120,Vivek Gupta,22.0,Male,Corporate,East,Bihar,Furniture,Tables,Glass Coffee Table,2565.29,6,0.3,181.52
ORD-100050,2024-12-13,2024-12-20,CUST-5722,Vivek Mehta,24.0,Male,Home Office,West,Maharashtra,Office Supplies,Art,Sketch Pad,68.69,1,0.2,4.21
ORD-100051,2024-05-24,2024-05-30,CUST-2110,Vivek Mehta,27.0,Male,Corporate,Central,Madhya Pradesh,Technology,Phones,Budget Smartphone S5,1413.74,4,0.0,326.16
ORD-100052,2024-11-23,2024-11-28,CUST-7196,Neha Iyer,36.0,Female,Consumer,Central,Chhattisgarh,Office Supplies,Paper,A4 Copy Paper Ream,97.22,6,0.2,12.41
ORD-100053,2024-10-18,2024-10-23,CUST-9159,Kavita Iyer,30.0,Female,Corporate,South,Kerala,Furniture,Bookcases,5-Shelf Bookcase,637.22,3,0.3,54.29
ORD-100054,2023-11-18,2023-11-20,CUST-4281,Rahul Iyer,22.0,Male,Consumer,East,West Bengal,Furniture,Chairs,Ergo Mesh Office Chair,148.71,1,0.3,16.1
ORD-100055,2024-11-11,2024-11-12,CUST-1869,Rohan Patel,31.0,Male,Consumer,West,Rajasthan,Office Supplies,Binders,Clip Binder,185.61,4,0.1,62.85
ORD-100056,2022-04-30,2022-05-06,CUST-5468,Karan Reddy,38.0,Male,Corporate,South,Karnataka,Office Supplies,Art,Sketch Pad,47.0,1,0.4,
ORD-100057,2022-09-14,2022-09-17,CUST-6007,Neha Reddy,18.0,Female,Home Office,East,Bihar,Furniture,Tables,Adjustable Standing Desk,3209.97,6,0.0,1115.56
ORD-100058,2022-03-05,2022-03-11,CUST-5920,Aditya Joshi,34.0,Male,Corporate,Central,Chhattisgarh,Office Supplies,Art,Sketch Pad,246.14,4,0.4,-10.35
ORD-100059,2022-12-27,2023-01-01,CUST-4413,Karan Sharma,29.0,Male,Home Office,Central,Madhya Pradesh,Office Supplies,Storage,File Cabinet,364.09,6,0.15,94.46
ORD-100060,2023-03-18,2023-03-20,CUST-9808,Karan Patel,30.0,Male,Home Office,West,Gujarat,Office Supplies,Paper,Sticky Notes Pack,101.43,2,0.0,29.89
ORD-100061,2022-11-23,2022-11-30,CUST-9359,Nikhil Gupta,57.0,Male,Corporate,North,Uttar Pradesh,Furniture,Bookcases,5-Shelf Bookcase,786.01,3,0.1,258.21
ORD-100062,2024-08-03,2024-08-04,CUST-2438,Meera Gupta,,Female,Corporate,Central,Chhattisgarh,Technology,Copiers,Office Copier 200,1638.77,3,0.0,464.08
ORD-100063,2023-02-02,2023-02-09,CUST-3804,Sneha Reddy,25.0,Female,Consumer,East,Bihar,Furniture,Chairs,Ergo Mesh Office Chair,1000.35,4,0.15,95.16
ORD-100064,2022-11-30,2022-12-03,CUST-7817,Arjun Verma,34.0,Male,Corporate,North,Punjab,Technology,Accessories,Mechanical Keyboard,299.81,1,0.1,54.87
ORD-100065,2023-09-30,2023-10-06,CUST-1402,Shreya Singh,31.0,Female,Corporate,South,Tamil Nadu,Office Supplies,Storage,File Cabinet,158.21,3,0.15,43.09
ORD-100066,2022-07-05,2022-07-08,CUST-6082,Neha Joshi,63.0,Female,Consumer,East,Bihar,Office Supplies,Storage,Desk Organizer,86.41,3,0.1,11.83
ORD-100067,2024-06-28,2024-07-03,CUST-7724,Anita Rao,35.0,Female,Consumer,East,Bihar,Office Supplies,Binders,3-Ring Binder,199.74,3,0.1,33.62
ORD-100068,2022-04-12,2022-04-15,CUST-5907,Rohan Mehta,43.0,Male,Home Office,North,Punjab,Technology,Machines,Laser Printer,1262.5,3,0.15,120.96
ORD-100069,2024-12-24,2024-12-31,CUST-5145,Shreya Mehta,43.0,Female,Home Office,South,Kerala,Technology,Accessories,Mechanical Keyboard,2747.59,5,0.1,807.83
ORD-100070,2024-05-20,2024-05-22,CUST-6311,Aditya Verma,26.0,Male,Consumer,East,West Bengal,Technology,Phones,Budget Smartphone S5,3413.02,4,0.2,795.3
ORD-100071,2022-09-17,2022-09-20,CUST-1402,Shreya Singh,31.0,Female,Consumer,East,Odisha,Furniture,Bookcases,5-Shelf Bookcase,850.91,2,0.3,124.82
ORD-100072,2022-01-08,2022-01-12,CUST-7817,Arjun Verma,32.0,Male,Consumer,West,Rajasthan,Office Supplies,Binders,3-Ring Binder,34.7,2,0.0,8.16
ORD-100073,2024-07-16,2024-07-18,CUST-6149,Anita Gupta,37.0,Female,Corporate,North,Punjab,Office Supplies,Paper,Sticky Notes Pack,99.5,2,0.0,37.96
ORD-100074,2024-02-27,2024-03-04,CUST-1386,Vivek Nair,33.0,Male,Home Office,North,Haryana,Office Supplies,Art,Colored Pencils,59.68,1,0.0,13.1
ORD-100075,2024-03-27,2024-03-28,CUST-5177,Vikram Joshi,31.0,Male,Consumer,West,Gujarat,Technology,Accessories,Mechanical Keyboard,1384.34,2,0.0,372.14
ORD-100076,2024-05-19,2024-05-20,CUST-8836,Manish Kapoor,47.0,Male,Home Office,East,Odisha,Office Supplies,Labels,Shipping Labels,249.09,4,0.1,32.19
ORD-100077,2022-04-11,2022-04-16,CUST-2320,Meera Patel,52.0,Female,Home Office,West,Rajasthan,Technology,Copiers,Compact Copier,2425.21,6,0.0,839.17
ORD-100078,2023-02-05,2023-02-10,CUST-1402,Shreya Singh,31.0,Female,Consumer,East,West Bengal,Office Supplies,Binders,View Binder,148.77,3,0.0,
ORD-100079,2022-06-02,2022-06-06,CUST-2438,Meera Gupta,18.0,Female,Home Office,Central,Chhattisgarh,Furniture,Furnishings,Table Lamp,904.92,3,0.0,339.49
ORD-100080,2024-09-14,2024-09-20,CUST-4651,Rohan Reddy,39.0,Male,Home Office,East,Bihar,Technology,Phones,Cordless Landline,2246.69,5,0.3,203.49
ORD-100081,2023-12-05,2023-12-12,CUST-8599,Shreya Nair,22.0,Female,Home Office,South,Tamil Nadu,Furniture,Chairs,Recliner Lounge Chair,288.85,1,0.1,50.33
ORD-100082,2022-12-30,2022-12-31,CUST-8393,Aditya Reddy,18.0,Male,Corporate,West,Gujarat,Furniture,Chairs,Executive Leather Chair,1292.92,5,0.2,100.37
ORD-100083,2022-03-29,2022-03-30,CUST-5592,Rohan Sharma,29.0,Male,Consumer,East,Odisha,Technology,Phones,Budget Smartphone S5,2038.67,6,0.1,657.85
ORD-100084,2022-12-18,2022-12-19,CUST-1402,Shreya Singh,31.0,Female,Consumer,East,Bihar,Technology,Accessories,Wireless Mouse,1189.31,7,0.3,58.51
ORD-100085,2022-12-27,2023-01-03,CUST-3731,Rahul Sharma,46.0,Male,Consumer,East,Odisha,Office Supplies,Paper,Sticky Notes Pack,69.78,5,0.1,9.57
ORD-100086,2024-03-28,2024-03-29,CUST-6458,Amit Rao,34.0,Male,Home Office,East,Bihar,Technology,Accessories,USB-C Hub,3719.55,7,0.2,174.6
ORD-100087,2023-12-14,2023-12-17,CUST-5237,Manish Iyer,50.0,Male,Home Office,South,Telangana,Office Supplies,Binders,View Binder,144.16,6,0.0,60.87
ORD-100088,2024-10-11,2024-10-17,CUST-2436,Vikram Mehta,25.0,Male,Corporate,North,Delhi,Office Supplies,Binders,View Binder,223.95,4,0.1,77.08
ORD-100089,2023-07-03,2023-07-05,CUST-5237,Manish Iyer,50.0,Male,Consumer,East,Bihar,Office Supplies,Labels,Address Labels,283.22,7,0.0,65.65
ORD-100090,2022-06-07,2022-06-09,CUST-7810,Anita Reddy,30.0,Female,Consumer,North,Haryana,Technology,Accessories,Mechanical Keyboard,955.37,6,0.1,118.57
ORD-100091,2024-03-06,2024-03-10,CUST-2184,Anjali Patel,26.0,Female,Consumer,Central,Madhya Pradesh,Furniture,Chairs,Ergo Mesh Office Chair,1557.56,7,0.15,288.78
ORD-100092,2024-05-06,2024-05-09,CUST-5571,Nikhil Rao,39.0,Male,Consumer,East,Odisha,Furniture,Chairs,Recliner Lounge Chair,1982.9,6,0.1,255.04
ORD-100093,2023-10-18,2023-10-19,CUST-2436,Vikram Mehta,26.0,Male,Consumer,South,Tamil Nadu,Technology,Accessories,USB-C Hub,225.74,2,0.2,32.21
ORD-100094,2024-05-19,2024-05-20,CUST-6840,Neha Reddy,41.0,Female,Consumer,East,West Bengal,Furniture,Chairs,Ergo Mesh Office Chair,437.82,1,0.2,0.85
ORD-100095,2023-08-01,2023-08-06,CUST-4033,Amit Verma,42.0,Male,Corporate,North,Haryana,Office Supplies,Paper,Sticky Notes Pack,183.43,3,0.1,61.5
ORD-100096,2023-09-07,2023-09-12,CUST-8638,Neha Reddy,33.0,Female,Corporate,West,Maharashtra,Office Supplies,Envelopes,Window Envelopes,11.74,1,0.4,-1.05
ORD-100097,2023-05-07,2023-05-11,CUST-8323,Arjun Gupta,37.0,Male,Home Office,South,Kerala,Office Supplies,Envelopes,Window Envelopes,35.66,1,0.15,9.5
ORD-100098,2022-02-05,2022-02-06,CUST-2310,Rohan Kapoor,54.0,Male,Home Office,North,Punjab,Office Supplies,Labels,Shipping Labels,173.85,7,0.0,64.9
ORD-100099,2022-05-24,2022-05-28,CUST-8890,Anita Joshi,55.0,Female,Home Office,West,Gujarat,Office Supplies,Labels,Address Labels,28.29,1,0.0,6.42
ORD-100100,2022-02-13,2022-02-16,CUST-6840,Neha Reddy,42.0,Female,Consumer,East,West Bengal,Furniture,Bookcases,5-Shelf Bookcase,1011.91,4,0.15,275.29
ORD-100101,2023-12-13,2023-12-15,CUST-7441,Rahul Kapoor,36.0,Male,Consumer,East,Bihar,Office Supplies,Storage,Desk Organizer,43.18,2,0.0,18.97
ORD-100102,2022-12-20,2022-12-21,CUST-6840,Neha Reddy,44.0,Female,Corporate,North,Delhi,Furniture,Tables,Round Side Table,2129.82,4,0.1,294.83
ORD-100103,2023-08-20,2023-08-26,CUST-8899,Suresh Reddy,48.0,Male,Home Office,East,West Bengal,Office Supplies,Storage,Desk Organizer,132.04,4,0.15,22.2
ORD-100104,2024-10-31,2024-11-07,CUST-7356,Anjali Singh,30.0,Female,Home Office,West,Gujarat,Furniture,Furnishings,Curtain Set,1928.48,4,0.15,368.17
ORD-100105,2022-11-06,2022-11-09,CUST-6458,Amit Rao,30.0,Male,Consumer,South,Tamil Nadu,Technology,Phones,Smartphone X12,885.07,2,0.3,14.78
ORD-100106,2023-04-15,2023-04-16,CUST-6203,Manish Singh,22.0,Male,Consumer,West,Gujarat,Furniture,Bookcases,5-Shelf Bookcase,671.27,7,0.1,145.68
ORD-100107,2024-04-30,2024-05-07,CUST-8890,Anita Joshi,57.0,Female,Consumer,West,Gujarat,Technology,Copiers,Office Copier 200,3688.69,5,0.15,194.88
ORD-100108,2022-10-19,2022-10-25,CUST-8899,Suresh Reddy,47.0,Male,Home Office,West,Gujarat,Office Supplies,Labels,Shipping Labels,65.23,1,0.0,27.4
ORD-100109,2022-04-15,2022-04-20,CUST-4573,Arjun Sharma,18.0,Male,Corporate,East,Odisha,Office Supplies,Art,Marker Set,149.93,3,0.0,48.76
ORD-100110,2022-12-05,2022-12-09,CUST-7731,Isha Mehta,46.0,Female,Corporate,North,Uttar Pradesh,Office Supplies,Art,Marker Set,132.38,6,0.3,-0.11
ORD-100111,2022-08-02,2022-08-07,CUST-5349,Sanjay Verma,48.0,Male,Consumer,Central,Chhattisgarh,Furniture,Furnishings,Wall Clock,2031.9,4,0.0,539.82
ORD-100112,2024-11-16,2024-11-18,CUST-6475,Anita Iyer,26.0,Female,Consumer,Central,Madhya Pradesh,Office Supplies,Envelopes,Window Envelopes,115.66,2,0.0,48.32
ORD-100113,2024-07-05,2024-07-10,CUST-7613,Aditya Iyer,36.0,Male,Consumer,Central,Madhya Pradesh,Furniture,Chairs,Ergo Mesh Office Chair,1789.66,3,0.2,69.39
ORD-100114,2023-12-11,2023-12-12,CUST-7613,Aditya Iyer,37.0,Male,Consumer,East,Odisha,Office Supplies,Paper,A4 Copy Paper Ream,45.99,1,0.1,13.27
ORD-100115,2024-09-24,2024-09-30,CUST-6203,Manish Singh,23.0,Male,Consumer,North,Uttar Pradesh,Office Supplies,Binders,View Binder,383.37,7,0.1,123.91
ORD-100116,2024-06-29,2024-07-04,CUST-9709,Sanjay Singh,40.0,Male,Consumer,South,Karnataka,Office Supplies,Art,Colored Pencils,28.05,1,0.1,3.56
ORD-100117,2022-09-03,2022-09-04,CUST-9709,Sanjay Singh,44.0,Male,Home Office,North,Uttar Pradesh,Office Supplies,Binders,View Binder,470.66,6,0.2,91.22
ORD-100118,2024-10-16,2024-10-18,CUST-6322,Rohan Joshi,33.0,Male,Home Office,North,Haryana,Technology,Phones,Budget Smartphone S5,506.23,7,0.1,138.04
ORD-100119,2023-09-26,2023-10-03,CUST-3589,Nikhil Gupta,27.0,Male,Consumer,West,Rajasthan,Office Supplies,Envelopes,Window Envelopes,102.57,5,0.1,15.58
ORD-100120,2024-07-05,2024-07-11,CUST-7966,Divya Mehta,29.0,Female,Home Office,West,Maharashtra,Furniture,Tables,Round Side Table,869.6,3,0.15,53.85
ORD-100121,2024-10-19,2024-10-24,CUST-5945,Ritu Nair,26.0,Female,Consumer,West,Rajasthan,Technology,Accessories,USB-C Hub,259.01,1,0.1,33.97
ORD-100122,2022-12-22,2022-12-26,CUST-7098,Neha Joshi,18.0,Female,Consumer,North,Uttar Pradesh,Furniture,Tables,Round Side Table,581.15,5,0.0,225.99
ORD-100123,2022-05-26,2022-05-30,CUST-9709,Sanjay Singh,42.0,Male,Consumer,East,Bihar,Furniture,Bookcases,Ladder Bookshelf,211.78,2,0.4,-31.62
ORD-100124,2022-10-18,2022-10-24,CUST-6149,Anita Gupta,36.0,Female,Consumer,West,Maharashtra,Office Supplies,Art,Sketch Pad,61.81,2,0.2,3.71
ORD-100125,2023-05-07,2023-05-11,CUST-8250,Vivek Iyer,39.0,Male,Consumer,East,Bihar,Office Supplies,Envelopes,Mailing Envelopes,159.05,4,0.0,62.34
ORD-100126,2024-07-19,2024-07-24,CUST-8250,Vivek Iyer,38.0,Male,Corporate,South,Kerala,Technology,Accessories,USB-C Hub,2263.58,5,0.0,476.75
ORD-100127,2024-09-12,2024-09-17,CUST-5349,Sanjay Verma,46.0,Male,Home Office,South,Karnataka,Technology,Phones,Cordless Landline,3440.61,7,0.1,1071.77
ORD-100128,2022-01-10,2022-01-16,CUST-1037,Sneha Verma,39.0,Female,Consumer,East,Odisha,Office Supplies,Binders,View Binder,31.07,1,0.15,4.03
ORD-100129,2023-08-23,2023-08-28,CUST-4120,Shreya Iyer,41.0,Female,Consumer,East,Bihar,Furniture,Bookcases,Ladder Bookshelf,3556.07,7,0.1,858.98
ORD-100130,2023-04-24,2023-05-01,CUST-4120,Shreya Iyer,43.0,Female,Home Office,Central,Madhya Pradesh,Office Supplies,Paper,Sticky Notes Pack,90.86,5,0.0,40.6
ORD-100131,2022-10-12,2022-10-13,CUST-6322,Rohan Joshi,34.0,Male,Corporate,South,Kerala,Technology,Accessories,USB-C Hub,2807.73,6,0.1,503.65
ORD-100132,2022-06-08,2022-06-10,CUST-8975,Nikhil Sharma,22.0,Male,Consumer,North,Delhi,Furniture,Chairs,Ergo Mesh Office Chair,366.15,1,0.0,135.24
ORD-100133,2023-01-07,2023-01-14,CUST-2896,Pooja Rao,18.0,Female,Consumer,East,West Bengal,Furniture,Bookcases,Corner Bookcase,889.73,7,0.15,264.89
ORD-100134,2024-11-26,2024-12-03,CUST-5523,Divya Patel,18.0,Female,Corporate,North,Delhi,Technology,Machines,Laser Printer,767.33,3,0.0,196.28
ORD-100135,2022-12-25,2022-12-29,CUST-5190,Meera Iyer,44.0,Female,Corporate,South,Tamil Nadu,Office Supplies,Binders,Clip Binder,29.73,1,0.2,2.84
ORD-100136,2023-09-02,2023-09-03,CUST-5349,Sanjay Verma,45.0,Male,Consumer,North,Haryana,Technology,Copiers,Office Copier 200,179.15,3,0.1,34.72
ORD-100137,2024-02-21,2024-02-27,CUST-5911,Ritu Iyer,26.0,Female,Consumer,Central,Madhya Pradesh,Technology,Accessories,USB-C Hub,1793.03,4,0.0,580.44
ORD-100138,2023-02-12,2023-02-16,CUST-3121,Vikram Patel,47.0,Male,Corporate,West,Gujarat,Technology,Copiers,Office Copier 200,2918.63,7,0.3,431.81
ORD-100139,2024-12-14,2024-12-15,CUST-8975,Nikhil Sharma,22.0,Male,Home Office,East,Bihar,Office Supplies,Art,Sketch Pad,498.26,7,0.15,45.98
ORD-100140,2024-12-09,2024-12-14,CUST-2695,Aditya Sharma,48.0,Male,Corporate,North,Delhi,Office Supplies,Paper,Notebook Set,10.85,2,0.15,0.94
ORD-100141,2022-11-08,2022-11-14,CUST-8389,Ritu Mehta,21.0,Female,Corporate,East,Odisha,Furniture,Tables,Glass Coffee Table,304.48,1,0.15,79.72
ORD-100142,2023-08-06,2023-08-12,CUST-2213,Meera Mehta,,Female,Home Office,South,Kerala,Technology,Phones,Smartphone X12,4068.25,7,0.0,1246.75
ORD-100143,2022-12-12,2022-12-16,CUST-5190,Meera Iyer,41.0,Female,Consumer,East,West Bengal,Office Supplies,Envelopes,Window Envelopes,45.58,1,0.15,3.75
ORD-100144,2022-12-02,2022-12-07,CUST-8630,Amit Verma,37.0,Male,Corporate,West,Maharashtra,Technology,Phones,Budget Smartphone S5,704.01,3,,295.19
ORD-100145,2022-02-21,2022-02-25,CUST-2310,Rohan Kapoor,53.0,Male,Consumer,Central,Chhattisgarh,Office Supplies,Art,Sketch Pad,283.95,5,0.1,88.7
ORD-100146,2023-11-26,2023-11-29,CUST-7900,Rohan Reddy,39.0,Male,Corporate,West,Maharashtra,Office Supplies,Storage,Storage Box Set,167.35,7,0.1,17.6
ORD-100147,2023-08-13,2023-08-14,CUST-9558,Suresh Joshi,45.0,Male,Home Office,North,Uttar Pradesh,Office Supplies,Labels,Shipping Labels,114.24,2,0.2,15.2
ORD-100148,2022-03-13,2022-03-16,CUST-4403,Shreya Nair,48.0,Female,Consumer,North,Punjab,Office Supplies,Paper,Notebook Set,289.56,5,0.3,-5.63
ORD-100149,2022-11-28,2022-11-29,CUST-9709,Sanjay Singh,41.0,Male,Consumer,South,Tamil Nadu,Office Supplies,Binders,3-Ring Binder,64.44,3,0.0,22.66
ORD-100150,2024-11-01,2024-11-03,CUST-2213,Meera Mehta,37.0,Female,Consumer,West,Rajasthan,Furniture,Chairs,Executive Leather Chair,1648.83,7,,79.67
ORD-100151,2022-10-30,2022-11-06,CUST-8593,Karan Gupta,26.0,Male,Home Office,West,Gujarat,Furniture,Furnishings,Table Lamp,1235.52,5,0.1,127.0
ORD-100152,2022-07-10,2022-07-16,CUST-3846,Amit Joshi,39.0,Male,Corporate,Central,Madhya Pradesh,Technology,Copiers,Compact Copier,250.39,1,0.0,71.78
